,index,metric,_RF_Regressor,_AdaBoost_Regressor,_XGB_Regressor
0,235,MAE,235.08091722271556,166.18816762530813,46.79941019075467
1,235,RMSE,343.89443268654844,229.19531092614898,85.68020385942903
2,235,R2,0.8595654924150582,0.9483754991233281,0.9936855021908025
3,235,MAPE,10.931876995661083,9.883766584182355,2.2997337767120962
4,235,MedAE,169.76147378340124,141.0,25.385498046875
5,235,MSE,118263.38083280298,52530.4905505341,7341.097333393318
6,240,MAE,6.89736661826375,0.9474116680361545,19.361591970518955
7,240,RMSE,17.037598456215044,1.7306270088838869,43.61891902952079
8,240,R2,0.9063799328283484,0.9991823440477631,-1.3963680342367515
9,240,MAPE,25.410988038078646,17.623099380558735,64.07174776958672
10,240,MedAE,2.9527151248805694,0.0,6.695827484130859
11,240,MSE,290.2797611552212,2.9950698438783894,1902.6100973038906
12,251,MAE,38.56901777269371,3.0345110928512735,44.774675022899466
13,251,RMSE,60.84307498248978,7.535454407708213,73.63649099903259
14,251,R2,0.950503554122249,0.9993310559122629,0.9260669358791898
15,251,MAPE,8.791516476717968,1.3148640429739475,10.281648959582695
16,251,MedAE,22.941451714951683,0.0,25.99298095703125
17,251,MSE,3701.8797733248743,56.783073130649136,5422.332806650607
18,260,MAE,29.884856903437313,0.790468364831553,42.0247041612937
19,260,RMSE,50.73604916181129,2.5368281621102358,69.53437549512931
20,260,R2,0.95183903093107,0.9998961233434989,0.9076952078024503
21,260,MAPE,10.93158911063053,0.6095045110587455,15.72397042452192
22,260,MedAE,18.226174242424122,0.0,26.319244384765625
23,260,MSE,2574.146684549732,6.435497124075596,4835.02937549764
24,264,MAE,26.5021675668823,2.2530813475760065,17.822645941227307
25,264,RMSE,48.812874475760445,5.155112499340297,44.51583692959679
26,264,R2,0.9521999859879103,0.9995363086370919,0.9595750660440914
27,264,MAPE,9.586203045450825,1.5521787348163545,6.495395406350248
28,264,MedAE,15.09144800569797,0.0,9.3494873046875
29,264,MSE,2382.6967145863455,26.57518488085456,1981.6597375424533
