index,RF_Regressor,ET_Regressor,XGB_Regressor,ensamble
235,1357.4169375937909,833.0,833.0005,1007.8058086250136
235,1132.3191246800588,1166.0,1165.9995,1154.772878799603
235,1166.4859693708086,1082.0,1082.0001,1110.1620304803737
235,1248.164025005403,1252.0,1252.0001,1250.7213823585719
235,4061.005858391606,3805.0,3804.9998,3890.335204750327
235,4345.29597163947,6176.0,6175.9985,5565.764835598573
235,3277.0174150865478,3196.0,3196.0,3223.0058050288494
235,3363.206333333333,2793.0,2793.0002,2983.068859157986
235,2637.7199404761905,2583.0,2582.9995,2601.2398173983133
235,2498.466464285714,2104.0,2104.0002,2235.4889028087796
235,2506.4114642857144,2280.0,2279.9995,2355.4703253348216
235,3840.192711566211,3270.0,3270.0,3460.064237188737
235,3987.8745510045496,4872.0,4871.9995,4577.2913542411
235,3074.9282948179275,3412.0,3412.0002,3299.6428463195175
235,2602.23022979798,2485.0,2485.0,2524.0767432659936
235,2035.6915396825393,1861.0,1861.0001,1919.230553917617
235,1976.0608571428568,1963.0,1963.0002,1967.353700427827
235,1959.7014903993852,2110.0,2109.9995,2059.9003340393783
235,1404.051842452059,1602.0,1602.0005,1536.0174435777697
235,1799.8978824955825,1875.0,1874.9998,1849.9658794516527
235,1775.178047230749,2008.0,2007.9999,1930.3926417201455
235,1429.7626306628135,1380.0,1380.0002,1396.5876249344794
235,1118.408825242391,983.0,982.99976,1028.1361937005886
235,1223.037711015365,1180.0,1180.0002,1194.3459850519966
235,1257.6742040946756,1358.0,1357.9999,1324.5580273414544
235,1313.6751224880202,1396.0,1396.0001,1368.5584148527776
235,1805.2967377069397,2145.0,2144.9985,2031.7650909543966
235,1806.285209929162,2118.0,2118.0002,2014.0951513565958
235,1439.4830036786866,1382.0,1382.0001,1401.1610419163328
235,1114.702292247608,959.0,959.0005,1010.9009268429527
235,1232.0739206113244,1179.0,1178.9998,1196.6912254902331
235,1235.9355538299574,1326.0,1326.0,1295.978517943319
235,3495.8747887667873,3258.0,3258.0002,3337.291677635804
235,3787.8850131257614,4006.0,4006.0,3933.2950043752535
235,3754.88146153846,4064.0,4063.9993,3960.960243038862
235,3266.269734126983,2879.0,2879.0002,3008.0899927558694
235,2442.9394563492065,2283.0,2283.0002,2336.3132334966103
235,2474.5108690476195,2495.0,2495.0,2488.1702896825395
235,2507.8641230158737,2592.0,2591.9995,2563.9545449115412
235,1611.8382864211173,1451.0,1451.0005,1504.612924900789
235,1953.1067092384394,2130.0,2130.0,2071.0355697461464
235,1967.7002806670112,2125.0,2125.0002,2072.5668416025455
235,1684.5023144836973,1592.0,1591.9991,1622.8338199971702
