index,RF_Regressor,train_set,AdaBoost_Regressor,XGB_Regressor,ensamble
235,1360.051341932818,833.0,1410.0,885.50006,1218.5171343226582
235,1197.6792767087213,1166.0,1134.0,1074.2158,1135.2983656737404
235,1223.9406489019818,1082.0,1252.0,1062.8875,1179.6093666912857
235,1305.4639855829691,1252.0,1252.0,1315.896,1291.1199938922398
235,3966.658342574093,3805.0,3805.0,4018.016,3929.8914852851144
235,4249.341956548354,6176.0,6176.0,5585.5493,5336.963757651534
235,3384.5789653524594,3196.0,3196.0,3339.3604,3306.646438971653
235,3629.042824479442,2793.0,2793.0,3094.965,3172.335970790022
235,2637.323636370376,2583.0,2469.0,2417.8333,2508.0522961078336
235,2590.2657264742193,2104.0,2226.0,2182.4453,2332.903679658073
235,2605.998885024003,2280.0,2280.0,2149.932,2345.3102565965423
235,3639.8330001109994,3270.0,3363.0,3345.5122,3449.4484023807495
235,3890.9665435985585,4872.0,4872.0,4638.127,4467.03116557452
235,3198.474464884788,3412.0,3412.0,3462.4612,3357.645215508471
235,2747.1437231029636,2485.0,2793.0,2422.8645,2654.336075018696
235,2132.240175665923,1861.0,2110.0,2015.4692,2085.903137982391
235,2086.3326935213477,1963.0,2110.0,1955.9001,2050.7442800019076
235,2099.1758553178847,2110.0,2110.0,2007.5436,2072.239811473149
235,1525.9045037506248,1602.0,1602.0,1571.869,1566.5911741017708
235,1836.0539786901618,1875.0,1875.0,1981.8955,1897.6498288342207
235,1725.2932931275493,2008.0,1875.0,2048.3438,1882.8790143758497
235,1472.6848727353886,1380.0,1581.0,1389.5686,1481.084492083671
235,1134.4925306282141,983.0,1252.0,1021.3642,1135.9522424685192
235,1217.839120138064,1180.0,1252.0,1178.0011,1215.946739590292
235,1277.0810909268187,1358.0,1252.0,1371.6145,1300.2318642933144
235,1316.6460328128896,1396.0,1444.0,1372.3561,1377.6673706381507
235,1726.87649245717,2145.0,1602.0,2100.7786,1809.8850189700981
235,1728.4835197770722,2118.0,1618.0,2085.1091,1810.5308835454823
235,1444.5578285295944,1382.0,1504.0,1376.7393,1441.7656954473648
235,1129.4838168281249,959.0,1252.0,1007.73706,1129.7402924583332
235,1220.10011240603,1179.0,1252.0,1200.1647,1224.0882617525308
235,1251.7602092335965,1326.0,1321.0,1316.493,1296.4177504085947
235,3443.739821831763,3258.0,3258.0,3202.7312,3301.4903410012125
235,3784.747050427514,4006.0,4006.0,4112.482,3967.7429946737543
235,3740.7649599069237,4064.0,4064.0,4035.3647,3946.7099020002242
235,3337.644049114283,2879.0,2879.0,2905.637,3040.760337334969
235,2501.019509887081,2283.0,2283.0,2286.0508,2356.6900970456936
235,2502.548847361201,2495.0,2495.0,2494.296,2497.2815819329003
235,2501.363373792372,2592.0,2525.0,2582.0996,2536.1543277224573
235,1749.3036608631196,1451.0,1849.0,1519.2355,1705.8463781653106
235,1916.7237489510353,2130.0,1987.0,2073.0369,1992.2535380618035
235,1914.615101126638,2125.0,2021.0,2170.6526,2035.4225630057542
235,1762.4678154479632,1592.0,1896.0,1688.185,1782.2176246805711
235,1594.7561181722967,1207.0,1423.0,1441.6357,1486.4639534532655
235,1804.6431930379915,2968.0,2906.0,2405.8047,2372.149293512664
235,1528.9653222441514,1133.0,1207.0,1410.056,1382.0071175058629
235,1518.920939385522,1444.0,1467.0,1435.439,1473.7866347430906
235,1851.045223490385,1947.0,1976.0,1918.982,1915.3424263848158
235,1868.4751495365608,2071.0,1987.0,2055.146,1970.207048543437
235,1624.680921550194,1346.0,1664.0,1371.2249,1553.3019250219397
235,1234.1888480159128,953.0,1207.0,916.42145,1119.203431923273
235,1283.9732770404628,1162.0,1207.0,1150.8331,1213.935468974425
235,1362.7365137002282,1317.0,1238.0,1310.7782,1303.8382373141385
235,1402.3355417607454,1509.0,1466.0,1434.6813,1434.338938724936
235,1814.7098491980107,1973.0,1960.0,2022.5537,1932.4211867118368
235,1832.4693802225418,2195.0,1960.0,2186.9526,1993.140672313764
235,1584.8629841387485,1529.0,1643.0,1521.6879,1583.1836167832287
235,1202.5853823473217,825.0,1238.0,858.3352,1099.6401958084823
235,1257.6990870832692,1062.0,1381.0,1094.9487,1244.5492725173397
235,1326.7447607494123,1092.0,1423.0,1104.3254,1284.690066734179
235,1374.9309829213737,1245.0,1444.0,1309.8304,1376.2538090857704
235,1841.4196802965087,1910.0,1893.0,1923.4148,1885.9448250727946
235,1856.1423808459592,2066.0,1893.0,1962.9604,1904.0342766882366
235,1896.3491248046512,1504.0,1778.0,1732.0977,1802.1489270182171
235,1823.9180791094402,1423.0,1423.0,1513.2356,1586.7178916041885
235,2111.3568564505626,3082.0,3082.0,2829.6704,2674.342422202271
235,2182.755113457445,3477.0,3477.0,3199.6155,2953.1235306576905
235,3469.8607534116218,3081.0,3258.0,3146.1426,3291.3344438455406
235,3669.2515971994126,3959.0,3959.0,3907.4807,3845.244103363346
235,3134.9177296785347,3672.0,3672.0,3648.8828,3485.2668473928447
235,2628.412699683977,2292.0,2793.0,2262.5984,2561.3370294519505
235,1975.032184749564,1680.0,1967.0,1756.2704,1899.4341901639173
235,2034.1298532338574,1967.0,1967.0,1984.4684,1995.1994123409731
