index,RF_Regressor,train_set,ET_Regressor,XGB_Regressor,ensamble
235,1252.7202421036234,833.0,1220.6792632275128,885.50006,1047.9748915915732
235,1205.5232054913058,1166.0,1086.5866061808567,1074.2158,1133.0814079961656
235,1213.8680225266096,1082.0,1124.4192751322748,1062.8875,1120.7936872076898
235,1312.0707388315113,1252.0,1360.8195366762877,1315.896,1310.1965679003872
235,3990.4864870330907,3805.0,3696.739142857142,4018.016,3877.5604357928705
235,4142.433542795139,6176.0,4770.278365079364,5585.5493,5168.565306070188
235,3421.655198403418,3196.0,3473.267440476191,3339.3604,3357.570747610527
235,3510.9049602624764,2793.0,3098.890646825395,3094.965,3124.440173744624
235,2603.7053840854696,2583.0,2330.521724867725,2417.8333,2483.76509022658
235,2568.900325445279,2104.0,2214.787575396827,2182.4453,2267.5333033355264
235,2552.9386739301276,2280.0,2360.1527182539708,2149.932,2335.755819237431
235,3559.2608253361273,3270.0,3529.004257936507,3345.5122,3425.944322575971
235,3689.2934571887517,4872.0,4508.11212301587,4638.127,4426.883133332405
235,3043.6847327106157,3412.0,3401.962857142858,3462.4612,3330.0271928735247
235,2645.570079681755,2485.0,2626.844732804233,2422.8645,2545.069828609778
235,2079.5835294042467,1861.0,1949.6765753968257,2015.4692,1976.4323357705807
235,2071.051299119825,1963.0,1882.7568518518533,1955.9001,1968.1770743640134
235,2056.905955048864,2110.0,1891.0887089947098,2007.5436,2016.384560786284
235,1513.9662166619848,1602.0,1572.4925806878302,1571.869,1565.0819539761255
235,1803.989870508367,1875.0,1944.0301937229426,1981.8955,1901.2288930109523
235,1730.3677873784466,2008.0,1956.8225582010582,2048.3438,1935.8835238948761
235,1429.7875289532167,1380.0,1266.211302910052,1389.5686,1366.3918588447234
235,1203.8321949102924,983.0,1021.6661703944209,1021.3642,1057.4656405205142
235,1233.805654641136,1180.0,1133.1475899470897,1178.0011,1181.2385858052596
235,1269.474099837517,1358.0,1262.4390560365566,1371.6145,1315.3819144567997
235,1307.1467165267816,1396.0,1312.411189153439,1372.3561,1346.9784961954456
235,1705.9330353102537,2145.0,1919.9568273208267,2100.7786,1967.9171067710513
235,1723.1448387616515,2118.0,1949.875013227514,2085.1091,1969.0322457121351
235,1455.5410771697063,1382.0,1265.717123015872,1376.7393,1369.9993644995195
235,1191.6811649138988,959.0,1005.1821984126988,1007.73706,1040.9001059683683
235,1232.392952435447,1179.0,1184.007224867725,1200.1647,1198.8912125386837
235,1255.0074299236396,1326.0,1281.0485026455028,1316.493,1294.6372436403324
235,3406.0692470487033,3258.0,3487.3168174603175,3202.7312,3338.529316420224
235,3684.7506703892514,4006.0,4210.1839880952375,4112.482,4003.35414801956
235,3581.583083787128,4064.0,4018.4852896825396,4035.3647,3924.8582798908546
235,3204.1000079699716,2879.0,3020.6716309523817,2905.637,3002.3521504532446
235,2554.2840477282,2283.0,2319.998665343915,2286.0508,2360.833373580529
235,2591.10675774041,2495.0,2387.674007936509,2494.296,2492.0191660286046
235,2582.935565543718,2592.0,2515.4996798941806,2582.0996,2568.1337137032247
235,1697.4116010513678,1451.0,1527.4370370370366,1519.2355,1548.7710279303042
235,1913.4749845458978,2130.0,2018.7634523809527,2073.0369,2033.8188255403063
235,1922.4403111122526,2125.0,2080.2245714285727,2170.6526,2074.579367607863
235,1790.6422537972308,1592.0,1542.7327857142857,1688.185,1653.3900245263167
235,1655.0939942013467,1207.0,1402.764472582972,1441.6357,1426.6235522429547
235,1804.0473846705258,2968.0,1738.922753968254,2405.8047,2229.193706534695
235,1468.2277480163868,1133.0,1454.351875060124,1410.056,1366.408913337487
235,1489.2215363114249,1444.0,1462.0888280423276,1435.439,1457.6873322993756
235,1828.6569396852742,1947.0,1989.2089877344877,1918.982,1920.961995770956
235,1812.6927791857988,2071.0,2083.978873015874,2055.146,2005.7044120738556
235,1610.0232923201909,1346.0,1505.0053928571426,1371.2249,1458.0633846732396
235,1227.310847748289,953.0,1085.4398270803272,916.42145,1045.5430306456306
235,1280.797125829857,1162.0,1321.8788042328042,1150.8331,1228.8772649863683
235,1358.749440432186,1317.0,1296.345708393458,1310.7782,1320.718336766958
235,1394.794456541077,1509.0,1423.4741957671956,1434.6813,1440.4874816805839
235,1820.6332048510362,1973.0,1985.3713170995663,2022.5537,1950.3895582220257
235,1820.7428284675627,2195.0,2099.155063492064,2186.9526,2075.462632169594
235,1633.4037825050063,1529.0,1492.1916388888885,1521.6879,1544.070821901208
235,1195.3831726456137,825.0,1030.1563952621452,858.3352,977.218693246471
235,1219.900062146626,1062.0,1257.2987592592592,1094.9487,1158.5368879686587
235,1332.3129515632324,1092.0,1205.4819914622415,1104.3254,1183.5300956196497
235,1404.6934404636193,1245.0,1340.6655582010578,1309.8304,1325.0473607501538
235,1848.6825892934226,1910.0,1956.8745396825404,1923.4148,1909.7429809744594
235,1851.738680692167,2066.0,2081.3917500000002,1962.9604,1990.5227199777291
235,1882.1995128238816,1504.0,1854.3973968253972,1732.0977,1743.1736414748198
235,1809.1985843308562,1423.0,1804.0539523809516,1513.2356,1637.3720331037332
235,2046.7466017953745,3082.0,2207.1055317460314,2829.6704,2541.380635924414
235,2157.746910974966,3477.0,2511.0385264550264,3199.6155,2836.350228986404
235,3615.4919635429937,3081.0,3524.0506216931203,3146.1426,3341.6712908402787
235,3740.563999548654,3959.0,3942.1035502645504,3907.4807,3887.2870656759574
235,3181.2398775089296,3672.0,3468.3446269841256,3648.8828,3492.616829248264
235,2567.847289908621,2292.0,2469.7414947089947,2262.5984,2398.0467933223727
235,1975.5371262333729,1680.0,1852.5053055555547,1756.2704,1816.0782043827787
235,1978.812747667494,1967.0,1975.082694444445,1984.4684,1976.3409564752503
235,1994.7096262333728,1954.0,2063.0928333333327,1945.2122,1989.2536544424574
235,1462.9709816207762,1382.0,1355.2976084656084,1390.7655,1397.758523254018
235,1863.5525904589238,1960.0,1989.003234126984,1969.6093,1945.541269378899
235,1884.3203671886777,2171.0,2112.39671031746,2176.4368,2086.038461271066
235,1675.0961629420835,1534.0,1559.8148637566142,1484.5094,1563.35510652819
235,1308.73880846546,1143.0,1156.2774187109192,1104.9415,1178.239438874173
235,1323.871128627916,1196.0,1262.073855820106,1240.834,1255.6947422057556
235,1358.3259015923818,1346.0,1282.4067063492066,1307.0339,1323.441635872116
235,4012.2510782967042,4069.0,3845.5841574074057,4073.0654,3999.9751663479024
235,4116.9153234127,4812.0,4274.525670634921,4762.3066,4491.436908668155
235,4089.122873758596,4519.0,4010.005765873015,4480.2783,4274.6017399860275
235,3141.351197931153,3095.0,2840.7184629629637,3115.4175,3048.121785340717
235,2582.7453561923544,2496.0,2304.892548941798,2504.6782,2472.0790319476005
235,2589.6169987719973,2715.0,2451.80739021164,2729.841,2621.5663633591903
235,2675.555582180419,2711.0,2542.531075396825,2730.65,2664.934139980249
235,1451.8432424732396,1466.0,1375.0782685185184,1421.5836,1428.626282288955
235,1877.2200001957324,2089.0,2022.4874603174599,2152.3826,2035.272507218142
235,1930.9208130159468,2170.0,2191.1635714285712,2214.7603,2126.7111595876922
235,1756.7013558755039,1643.0,1668.9252658730156,1640.0048,1677.1578456226766
235,1261.6294290820133,1057.0,1086.693782467532,1048.6841,1113.5018233951987
235,1287.219906285141,1132.0,1167.9631759259255,1035.6664,1155.7123660117509
235,1362.368588895517,1289.0,1271.6351962481967,1239.1733,1290.544281246866
235,1402.4953081041751,1323.0,1407.8295780423286,1307.348,1360.1682271518603
235,2033.7232899965354,2287.0,2194.1764087301585,2310.2666,2206.2915750722987
235,1996.4643625946367,2091.0,2216.005341269841,2248.5493,2138.004755067682
235,1782.0503360619841,1664.0,1689.9786547619042,1634.5406,1692.6424100594877
235,1464.7805336237134,1118.0,1278.071831289081,1174.0963,1258.7371695973393
235,1515.9840357628718,1238.0,1341.704019119769,1350.2814,1361.4923567382384
235,1588.8803049391656,1436.0,1573.8823101250603,1501.6254,1525.0969953187907
235,1717.1196972380428,1849.0,1883.1256341991352,1880.6348,1832.4700242655445
235,2458.9616953025707,3165.0,2849.7779754689764,3228.8223,2925.6404840991368
235,2434.8092207394993,4201.0,3168.0247426647425,3661.5408,3366.3436837221543
235,2193.586087000241,2286.0,2256.96333893884,2333.89,2267.6098296293017
235,1520.1642233418047,1315.0,1315.141753968254,1327.726,1369.507982364624
235,1269.2543672711797,1085.0,1181.8494907407405,1178.4585,1178.6405885264176
235,1312.4595759496233,1236.0,1273.3456283068788,1268.0775,1272.470679726235
235,4359.846207459207,4930.0,4303.776719456467,4847.5103,4610.2832952054805
235,4297.245876012876,5020.0,4625.263954906203,5071.3,4753.452408901645
235,3549.2657084116854,4435.0,4060.6000739538217,4480.4834,4131.337295200752
235,2932.0855223061244,2804.0,2783.6570171957674,2828.956,2837.1746485473477
235,2545.9161103450647,2427.0,2397.260421957672,2419.5813,2447.439457782715
235,2598.6033166036755,2677.0,2586.7738743386244,2667.3384,2632.428892462138
235,2614.871522952882,2649.0,2684.6721203703723,2667.6702,2654.05345233472
235,1490.4108910697548,1617.0,1434.652435185185,1598.0859,1535.037315938735
235,2248.802259424851,2391.0,2454.726678571429,2391.1948,2371.4309405537574
235,2230.1037543089988,2562.0,2666.682883190884,2635.956,2523.6856730468457
235,2137.8734420079786,2256.0,2148.334415057167,2268.349,2202.6392445397237
235,1639.1289606218943,2055.0,1663.340080687831,1874.9426,1808.1029170657125
235,1604.8026054615318,1273.0,1541.669869047619,1347.4673,1441.7349399163502
